headline,url
‘We haven’t seen you in a while’: Duolingo’s passive-aggressive strategy for keeping users hooked,https://english.elpais.com/lifestyle/2024-12-22/we-havent-seen-you-in-a-while-duolingos-passive-aggressive-strategy-for-keeping-users-hooked.html
The brain controls body weight and obesity by regulating intestinal fat absorption,https://english.elpais.com/science-tech/2024-12-23/the-brain-controls-body-weight-and-obesity-by-regulating-intestinal-fat-absorption.html
Disney princesses also get sick: The health risks of living ‘happily ever after’,https://english.elpais.com/health/2024-12-17/disney-princesses-also-get-sick-the-health-risks-of-living-happily-ever-after.html
When great actors make horrible films: ‘It keeps getting worse than seems possible’,https://english.elpais.com/culture/2024-12-25/when-great-actors-make-horrible-films-it-keeps-getting-worse-than-seems-possible.html
From clown to ethical role model: How Tom Hanks got the whole world to love him  ,https://english.elpais.com/culture/2024-12-14/from-clown-to-ethical-role-model-how-tom-hanks-got-the-whole-world-to-love-him.html
"Rwanda’s sports fever, a pillar of development or sportswashing?",https://english.elpais.com/sports/2024-12-22/rwandas-sports-fever-a-pillar-of-development-or-sportswashing.html
Artificial rain or anti-hail cannons: Can the weather be manipulated?,https://english.elpais.com/climate/2024-12-25/artificial-rain-or-anti-hail-cannons-can-the-weather-be-manipulated.html
Marine Le Pen: ‘I am deeply Euroskeptic; the way the EU works is anti-democratic and anti-national’,https://english.elpais.com/international/2024-12-19/marine-le-pen-i-am-deeply-euroskeptic-the-way-the-eu-works-is-anti-democratic-and-anti-national.html
"Colombia, the world’s largest exporter of mercenaries: ‘We’re like soccer players. Headhunters look at your work and make you an offer’",https://english.elpais.com/international/2024-12-23/colombia-the-worlds-largest-exporter-of-mercenaries-were-like-soccer-players-headhunters-look-at-your-work-and-make-you-an-offer.html
Crossing the hell of Darién,https://english.elpais.com/international/2024-12-21/crossing-the-hell-of-darien.html
Listen now LOS40 USA,https://los40.us/
Is Sabrina Carpenter Set to Star as Rapunzel in Disney’s Live-Action Film?,https://los40.us/2024/is-sabrina-carpenter-set-to-star-as-rapunzel-in-disneys-live-action-film-28044.html
Bad Bunny Announces ‘DeBÍ TiRAR MáS FOToS’ and Introduces ‘Concho’: All the Details,https://los40.us/2024/bad-bunny-announces-debi-tirar-mas-fotos-and-introduces-concho-all-the-details-28032.html
EL PAÍS offers free Spanish lessons with Gymglish,https://english.elpais.com/economy-and-business/2021-11-15/el-pais-offers-free-spanish-lessons-with-gymglish.html
"Tren de Aragua puts spotlight back on Aurora, the city that gave its name to Trump’s deportation plan",https://english.elpais.com/usa/2024-12-19/tren-de-aragua-puts-spotlight-back-on-aurora-the-city-that-gave-its-name-to-trumps-deportation-plan.html
Mexicans blame US for arms trafficking and reject the possibility of foreign agents operating on their territory,https://english.elpais.com/international/2024-12-20/mexicans-blame-us-for-arms-trafficking-and-reject-the-possibility-of-foreign-agents-operating-on-their-territory.html
"Najib Mikati, prime minister of Lebanon: ‘Trump is a pragmatic man. I hope he will impose a solution for Palestine’",https://english.elpais.com/international/2024-12-13/najib-mikati-prime-minister-of-lebanon-trump-is-a-pragmatic-man-i-hope-he-will-impose-a-solution-for-palestine.html
War opens the way for Ukrainian women in male-dominated professions,https://english.elpais.com/international/2024-12-23/war-opens-the-way-for-ukrainian-women-in-male-dominated-professions.html
‘Families broken by a dictatorship’: Christmas exacerbates the trauma of separation among Nicaraguans,https://english.elpais.com/international/2024-12-19/families-broken-by-a-dictatorship-christmas-exacerbates-the-trauma-of-separation-among-nicaraguans.html
Venezuela kicks off its most uncertain presidential campaign,https://english.elpais.com/international/2024-12-13/in-attempt-to-ease-pressure-maduro-announces-release-of-over-100-protesters-detained-after-contested-election.html
How much the minimum wage will rise in New York starting in 2025 ,https://english.elpais.com/economy-and-business/2024-12-11/how-much-the-minimum-wage-will-rise-in-new-york-starting-in-2025.html
An economic paradox: When savings are both a good and a bad idea,https://english.elpais.com/economy-and-business/2024-12-09/five-signs-of-market-excesses-what-dangers-lurk-beneath-the-record-highs.html
The John Ford film saved from the axe and rediscovered 100 years later in Chile,https://english.elpais.com/culture/2024-12-12/the-john-ford-film-saved-from-the-axe-and-rediscovered-100-years-later-in-chile.html
Jorge Ramos and the tireless fight for credibility ,https://english.elpais.com/culture/2024-12-10/jorge-ramos-and-the-tireless-fight-for-credibility.html
"The longest journey of a humpback whale: Male travels over 8,000 miles to mate",https://english.elpais.com/science-tech/2024-12-11/the-longest-journey-of-a-humpback-whale-male-travels-over-8000-miles-to-mate.html
"Jared Isaacman, Elon Musk’s man at the head of NASA: Is the Martian revolution coming?",https://english.elpais.com/science-tech/2024-12-10/jared-isaacman-elon-musks-man-at-the-head-of-nasa-is-the-martian-revolution-coming.html
"Vintage ‘jamón,’ the foodie luxury fetching up to €80,000",https://english.elpais.com/lifestyle/2024-12-10/vintage-jamon-the-new-foodie-luxury-fetching-up-to-80000.html
"‘Instagram therapy’ offers self-diagnoses, vocabulary and justifications, but it does not solve anything   ",https://english.elpais.com/lifestyle/2024-12-08/instagram-therapy-offers-self-diagnoses-vocabulary-and-justifications-but-it-does-not-solve-anything.html
"When cocaine ruled the NBA: ‘Drugs were everywhere, it was like a fad’",https://english.elpais.com/sports/2024-11-06/when-cocaine-ruled-the-nba-drugs-were-everywhere-it-was-like-a-fad.html
"Climbing without a rope, between freedom and psychopathy",https://english.elpais.com/sports/2024-11-04/racism-sexism-and-lgbtqphobia-tarnish-the-rise-of-womens-basketball-in-the-us.html
